127.0.0.1, 2016-02-28 15:02:38, GET, /admin/default/peek/welcome/models/lib.py, HTTP/1.1, 200, 0.044000
127.0.0.1, 2016-02-28 15:02:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:02:43, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.110000
127.0.0.1, 2016-02-28 15:02:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:02:58, GET, /admin/default/peek/welcome/models/lib.py, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-02-28 15:02:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:03:01, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.120000
127.0.0.1, 2016-02-28 15:03:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:03:02, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.108000
127.0.0.1, 2016-02-28 15:03:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:03:04, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-02-28 15:03:04, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.057000
127.0.0.1, 2016-02-28 15:03:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.024000
127.0.0.1, 2016-02-28 15:03:15, GET, /admin/default/site, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-28 15:03:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:03:36, POST, /admin/default/site, HTTP/1.1, 303, 0.420000
127.0.0.1, 2016-02-28 15:03:36, GET, /admin/default/design/lib, HTTP/1.1, 200, 0.445000
127.0.0.1, 2016-02-28 15:03:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:03:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:04:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:04:16, GET, /admin/default/design/lib, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-02-28 15:04:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:04:38, GET, /admin/default/peek/lib/models/menu.py, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-02-28 15:04:39, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2016-02-28 15:52:13, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.072000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:52:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-28 15:52:19, GET, /admin/default/site, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-28 15:52:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:52:26, GET, /admin/default/design/lib, HTTP/1.1, 200, 0.120000
127.0.0.1, 2016-02-28 15:52:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:52:29, GET, /admin/default/peek/lib/models/db.py, HTTP/1.1, 200, 0.052000
127.0.0.1, 2016-02-28 15:52:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:52:37, GET, /admin/default/design/lib, HTTP/1.1, 200, 0.124000
127.0.0.1, 2016-02-28 15:52:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:52:50, GET, /admin/default/peek/lib/views/__init__.py, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-02-28 15:52:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:52:53, GET, /admin/default/design/lib, HTTP/1.1, 200, 0.109000
127.0.0.1, 2016-02-28 15:52:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-28 15:52:59, GET, /admin/default/peek/lib/views/appadmin.html, HTTP/1.1, 200, 0.080000
